id,label
1,0.855053
2,0.982276
3,0.801381
4,0.999815
5,0.614845
6,0.219745
7,0.0177387
8,0.538045
9,0.0943474
10,0.120482
11,4.56284e-06
12,0.907753
13,0.0647481
14,0.358857
15,0.14795
16,0.0226896
17,0.958357
18,0.956204
19,0.744178
20,0.454683
21,0.841344
22,0.256523
23,0.886831
24,0.992475
25,0.72613
26,0.894443
27,0.973419
28,0.00285109
29,0.657625
30,0.985173
31,0.995031
32,0.314481
33,0.995202
34,0.0545861
35,0.247081
36,0.708374
37,0.0025559
38,0.00222685
39,0.977759
40,0.304378
41,0.964693
42,0.999973
43,0.962028
44,0.95418
45,0.160012
46,0.408177
47,0.0724546
48,0.999985
49,0.999401
50,0.102852
51,0.037561
52,0.0599558
53,0.573553
54,0.0125337
55,0.0875063
56,0.793031
57,0.865518
58,0.0352031
59,0.984555
60,0.18756
61,0.346847
62,0.917729
63,0.0752553
64,0.589133
65,0.99988
66,0.83752
67,0.922818
68,0.192468
69,0.999926
70,0.963184
71,0.925694
72,0.957871
73,0.993904
74,0.995844
75,0.72512
76,0.773584
77,0.991947
78,0.996914
79,0.902589
80,0.109802
81,0.3657
82,0.331125
83,0.999864
84,0.278547
85,0.923831
86,0.415347
87,0.861843
88,0.902293
89,0.000946593
90,0.924513
91,0.194001
92,0.0252407
93,0.100081
94,0.999938
95,0.996087
96,0.330565
97,0.998081
98,0.932785
99,0.0847273
100,0.162104
101,0.00908329
102,0.806762
103,0.0251502
104,0.139324
105,0.328682
106,0.924019
107,0.294268
108,0.438433
109,0.99999
110,0.962296
111,0.315841
112,0.965177
113,0.993268
114,0.14952
115,0.0538494
116,0.0219822
117,0.0843701
118,0.907404
119,0.905629
120,0.0465949
121,0.510138
122,0.0122321
123,0.297145
124,0.0757743
125,0.192497
126,0.446053
127,0.670109
128,2.68522e-06
129,0.0506528
130,0.314093
131,0.879187
132,0.66248
133,0.191972
134,0.0257028
135,0.00286387
136,0.0070149
137,0.998258
138,0.293299
139,0.71542
140,0.0655055
141,0.150056
142,0.581536
143,0.999991
144,0.554313
145,0.094367
146,0.985186
147,0.924834
148,0.341755
149,0.000845767
150,0.166513
151,0.140201
152,0.21891
153,0.000371055
154,0.082809
155,0.546629
156,0.675946
157,0.00207698
158,0.977446
159,0.998712
160,0.346632
161,0.287473
162,0.872536
163,0.000249764
164,0.733521
165,0.438203
166,0.143513
167,0.812591
168,0.0155502
169,0.345601
170,0.073208
171,0.268355
172,0.909234
173,0.669167
174,0.0984421
175,0.999468
176,0.983803
177,0.621593
178,0.838517
179,0.811588
180,0.0173937
181,0.997874
182,0.999747
183,0.0555037
184,0.26117
185,0.0876164
186,0.00225357
187,0.000353466
188,0.592672
189,0.0493837
190,0.996588
191,0.123708
192,0.74246
193,0.112497
194,7.03598e-06
195,0.9863
196,0.515559
197,0.812958
198,0.0309348
199,0.484553
200,0.992168
201,0.595246
202,0.0411576
203,0.870859
204,0.995915
205,0.00112627
206,0.16261
207,0.658187
208,0.442803
209,0.737985
210,2.15471e-05
211,0.968988
212,0.992953
213,0.815295
214,0.410737
215,0.905816
216,0.0317516
217,0.994603
218,0.000883913
219,0.929653
220,0.947001
221,0.0774638
222,0.97728
223,0.838128
224,0.00108531
225,0.81091
226,0.0997752
227,0.91967
228,0.172464
229,0.981522
230,0.00505977
231,0.824298
232,0.168473
233,0.116569
234,0.180645
235,0.990829
236,0.894822
237,0.0449236
238,0.786267
239,0.0182496
240,0.913347
241,0.999786
242,0.848097
243,0.0260412
244,0.479654
245,0.99875
246,0.0760712
247,0.994436
248,0.0341975
249,0.205523
250,0.97925
251,0.968367
252,0.0721686
253,0.751285
254,0.0349495
255,0.866255
256,0.00183561
257,0.879139
258,0.954507
259,0.0632111
260,0.0113367
261,0.158218
262,0.349017
263,0.0456346
264,0.0500167
265,0.964665
266,0.0710043
267,0.00108531
268,0.0117339
269,0.899364
270,0.981757
271,0.964146
272,0.0895196
273,0.973463
274,0.0248692
275,0.110265
276,0.915386
277,0.963341
278,0.467944
279,0.145148
280,0.824501
281,0.9695
282,0.980665
283,0.348874
284,0.994948
285,0.172629
286,0.899546
287,0.000406703
288,0.098573
289,0.987014
290,0.289341
291,0.15838
292,0.179236
293,0.447272
294,0.881041
295,0.00716078
296,0.936412
297,0.995262
298,0.835967
299,0.997979
300,0.00804838
301,0.602792
302,0.0288307
303,0.0185268
304,0.00209697
305,0.164557
306,0.791006
307,0.963248
308,0.00177338
309,0.0956775
310,0.450431
311,0.332055
312,0.196579
313,0.661618
314,0.463114
315,0.960766
316,0.0745105
317,0.976747
318,0.15523
319,0.820105
320,0.194746
321,0.670955
322,0.988352
323,0.00461867
324,0.034393
325,0.805483
326,0.94099
327,0.94886
328,0.0599238
329,0.000970488
330,0.54104
331,0.287653
332,0.474362
333,0.644672
334,0.00829171
335,0.188856
336,0.976922
337,0.865388
338,0.370898
339,0.0416705
340,0.0339078
341,0.186927
342,0.230085
343,0.103685
344,0.982588
345,0.0632089
346,0.92673
347,0.0715956
348,0.733732
349,0.562644
350,0.891866
351,0.0557836
352,0.866771
353,0.971047
354,0.855134
355,0.824096
356,0.95115
357,0.0380106
358,0.964849
359,0.12007
360,0.170099
361,0.40663
362,0.348208
363,0.999204
364,0.00882548
365,0.782042
366,0.144912
367,0.831766
368,0.340805
369,0.911611
370,0.994812
371,0.977092
372,0.0407484
373,0.974596
374,0.373303
375,0.993369
376,0.175106
377,0.894135
378,0.0136627
379,0.898757
380,0.306404
381,0.999772
382,0.0246046
383,0.99248
384,0.999988
385,0.64802
386,0.0981362
387,0.338574
388,0.0433939
389,0.943158
390,0.188598
391,0.169479
392,0.0193674
393,0.627768
394,0.986897
395,0.735368
396,0.29811
397,0.347826
398,0.376792
399,0.969765
400,0.92698
401,0.968056
402,0.307921
403,0.999996
404,0.00396165
405,0.120231
406,0.842629
407,0.119022
408,0.0142734
409,0.182484
410,0.24374
411,0.916273
412,0.999915
413,0.980374
414,0.0923891
415,0.961964
416,0.124229
417,0.929523
418,1.0
419,0.468567
420,0.95059
421,0.851861
422,0.98564
423,0.932384
424,0.999667
425,0.848852
426,0.0194992
427,0.741113
428,0.0339377
429,0.987171
430,0.925968
431,0.949207
432,0.297202
433,0.981227
434,0.93811
435,0.983373
436,0.287718
437,0.0847394
438,0.400636
439,0.902251
440,0.543365
441,0.0811861
442,0.47029
443,0.904698
444,0.446266
445,0.37474
446,0.84948
447,3.99279e-05
448,0.148867
449,0.0128046
450,0.996027
451,0.367914
452,0.367948
453,0.998405
454,0.0272972
